H (km)  T (C)  P (kPa)  rho (kg m^-3)
0.0000  15.0   101.325  1.2250
1.0000  8.5    89.874   1.1116
2.0000  2.0    79.495   1.0065
3.0000  -4.5   70.108   0.9091
4.0000  -11.0  61.640   0.8191
5.0000  -17.5  54.019   0.7361
6.0000  -24.0  47.181   0.6597
7.0000  -30.5  41.060   0.5895
8.0000  -37.0  35.599   0.5252
9.0000  -43.5  30.742   0.4664
10.000  -50.0  26.436   0.4127
11.000  -56.5  22.632   0.3639
13.000  -56.5  16.510   0.2655
15.000  -56.5  12.044   0.1937
17.000  -56.5  8.787    0.1423
20.000  -56.5  5.475    0.0880
25.000  -51.5  2.511    0.0395
